I,G,C,H
0.7749999999992837,0.075,0.07500000000071555,0.075
0.08457346669832426,0.47264720547539724,0.2663178904013095,0.17646143742496684
0.09505737662950861,0.2572247184444419,0.39391675005146365,0.2538011548745859
0.7749974092862935,0.075,0.07500259071370591,0.075
0.07703491907821834,0.6607121013612851,0.1484269792270513,0.11382600033344531
0.07703499227212544,0.6607095541480851,0.1484287144995785,0.11382673908021138
0.77499862546617,0.075,0.075001374533832,0.075
0.7749980449076741,0.075,0.07500195509232774,0.075
0.12787754352095784,0.07500026236440774,0.6912940335759657,0.10582816053866795
0.7749937746755599,0.075,0.0750062253244417,0.075
0.07703500382707174,0.6607091136284332,0.1484290177089833,0.11382686483551258
0.07714293656101721,0.6568495291035515,0.15088152245421765,0.11512601188121507
0.16412109349435428,0.075,0.6858789065056464,0.075
0.13993551858137387,0.07500000000000075,0.7100644812811602,0.0750000001374671
0.7749999875408221,0.075,0.07500001245917741,0.075
0.07703485872460131,0.6607122298486973,0.1484269008000798,0.11382601062662126
0.1136883809087004,0.07500356689278749,0.537688962434363,0.27361908976415156
0.14492471496944015,0.075,0.7050752850305605,0.075
0.12008995333859473,0.075,0.7299100466614037,0.075
0.10460222781120831,0.09197348687535335,0.4987812127942485,0.30464307251919387
0.07703481244705028,0.6607137397194166,0.14842591349865009,0.11382553433488163
0.7749973706619825,0.075,0.07500262933801517,0.075
0.08654015086325173,0.4272343357564954,0.3014939775818368,0.18473153579841833
0.7749999888415999,0.075,0.07500001115840065,0.075
0.7749997983132543,0.075,0.07500020168674454,0.075
0.774999999993907,0.075,0.07500000000609075,0.075
0.1149835849930136,0.07504023109067423,0.5015387690311014,0.3084374148852129
0.12946423575410898,0.07500000000000002,0.7205357642407112,0.07500000000517879
0.15800166244788688,0.07500000000001626,0.6919983346609349,0.07500000289116443
0.08425685251493949,0.4469827370740293,0.2831510357297354,0.18560937468129493
0.7749983373697601,0.075,0.07500166263023768,0.075
0.7749999999976821,0.075,0.07500000000232004,0.075
0.1294706636960031,0.075,0.7205293363039968,0.075
0.09454930266171671,0.22760434524320633,0.4175393006103044,0.26030705148476996
0.12006052747622578,0.07500000175563169,0.7294385742839469,0.07550089648419632
0.3073267422523655,0.075,0.5426732577476354,0.075
0.7749999885357809,0.075,0.07500001146422139,0.075
0.07703494209817516,0.6607090564115958,0.1484290434629552,0.11382695802727127
0.10416887644453149,0.08342640689327589,0.5038557057105046,0.30854901095168974
0.07703497434981652,0.6607078653746831,0.14842989020881753,0.11382727006668512
0.7749999999411027,0.075,0.0750000000588969,0.075
0.07744919321899478,0.6460722538746981,0.15773752035364363,0.11874103255266101
0.07703477137692998,0.6607128098365331,0.1484262253397841,0.11382619344675317
0.16394938413016763,0.075,0.6860506158698328,0.075
0.10752163199871176,0.08829586338905919,0.49301616968469725,0.31116633492753
0.1253921607457017,0.07500000027940414,0.7245334732018084,0.07507436577308778
0.1423454529658934,0.07500003448312213,0.6986310589579707,0.08402345359301348
0.12798749919830577,0.075,0.7220125008016942,0.075
0.1294768694723195,0.075,0.7205231305276824,0.075
0.7749999976603198,0.075,0.07500000233967906,0.075
0.07974876053500664,0.5685525538869796,0.20690532806141568,0.14479335751659617
0.08424390997767779,0.4474274598248326,0.2828701648175947,0.1854584653798942
0.7749999999992887,0.075,0.07500000000071058,0.075
0.12997377377839342,0.075,0.7200262262216047,0.075
0.30999206787979183,0.075,0.5400079321202093,0.075
0.7749424861750341,0.075,0.07505751382496416,0.075
0.07703495319078424,0.6607090926694116,0.14842908249523595,0.11382687164456574
0.7749964007132214,0.075,0.07500359928677947,0.075
0.24120846966009368,0.075,0.6087915303399041,0.075
0.774999861116819,0.075,0.07500013888318094,0.075
0.09359790396335288,0.3259913695223567,0.3506759750734687,0.22973475144082
