I,G,C_012,C_120,C_201,H_012,H_120,H_201,ground_truth,choice,confidence
-77.48639753216013,-98.38037958392012,-63.22559366593448,-124.07732320150289,-101.38546171411303,-54.21776136756781,-115.34391016804244,-93.22121406803832,H,H,low
-76.225131729097,-53.94446715056012,-62.967874837165965,-74.41081512313616,-73.48111574576016,-49.18987929341812,-60.4593156127903,-59.17455407337613,H,G,high
-62.63005663459467,-116.52028383936603,-51.18634317261956,-111.88352162059682,-107.1963290729965,-50.81112766313825,-107.87172277235322,-103.37808024328221,H,C,high
-63.58980260738245,-188.82164326113977,-116.76575381787501,-154.00880275946477,-109.20423076538934,-119.00665950555799,-154.5384095542049,-110.36457559695594,I,C,low
-67.06970679666092,-266.0319209448252,-161.16840398577318,-140.71487637524814,-224.84660485182374,-160.44647532719296,-144.38634400017568,-226.40862932783935,I,C,low
-63.32752653011844,-181.29543722949785,-165.20000445521362,-75.9716820333131,-137.47799023227734,-163.28751277512092,-80.60390878264056,-138.87735967815178,I,I,high
-62.5245898915991,-151.62335852274268,-60.90015776735961,-126.56208094128816,-144.40350453822543,-62.11476885013215,-123.26756762168768,-141.5314045550465,I,C,high
-68.07156780237969,-273.0274562252788,-80.3770225220729,-217.75462757740922,-209.4092891374183,-90.02490241612077,-217.72233581115478,-217.7467098942062,I,I,low
-76.23085328100227,-53.954747648864206,-62.96690489713048,-74.40663281964396,-73.47740480388461,-49.20211220888549,-60.46775059648176,-59.18390647528426,H,G,high
-63.78110030449264,-40.42194904408762,-53.59552556685728,-53.67586581740861,-53.09086090215032,-47.24461304468985,-47.31520399406183,-46.74413374138929,G,G,high
-65.33107097598636,-47.61452635065325,-52.14508623198612,-59.849853816443776,-59.74788266907666,-46.345579746780615,-54.23463582883908,-54.03992123967519,H,G,low
-63.565016428669686,-269.0020551170853,-203.99361176585347,-86.71310460715424,-224.21244043048577,-203.45378629631122,-92.64531565489301,-224.15202645618092,I,C,high
-62.51435546622025,-151.63765498609553,-60.897334482658245,-126.56025785815883,-144.44079068118722,-62.11124550960127,-123.26341502106145,-141.5625150491858,I,I,low
-68.23565880566363,-273.27842360135764,-57.51251761734953,-241.22986768560057,-254.86609279234477,-62.53876723362826,-241.02225274045568,-254.244092918251,C,C,low
-64.56764556560942,-42.993927506278354,-55.52012495360816,-55.33690869759802,-53.461764211405495,-49.5299693031449,-49.46913419504214,-47.670564164772905,G,H,high
-61.34158349264276,-53.25990547108056,-51.07153420194199,-64.15941822574092,-61.59890518163541,-48.58747641746542,-60.80428247474491,-58.251231865539346,H,G,low
-65.48954699987186,-91.72179398263476,-51.61546891521855,-93.54509040382106,-92.63430558879533,-50.776225041803905,-89.31479525091011,-88.32764322700552,H,G,high
-61.33755509065379,-53.256822089676504,-51.068094154782045,-64.15512232867398,-61.595141879223966,-48.58454282749667,-60.80068848803758,-58.247999897792496,H,H,high
-72.85740360512648,-149.96044603809102,-56.51251570985854,-136.10985628887204,-133.96127649992698,-59.779700757007305,-133.25870428150535,-131.22900834164457,C,C,high
-61.92476774096656,-146.69880664809455,-149.0357168094188,-78.11258745075122,-90.46140062401655,-146.2389490119299,-78.8381905677794,-91.89161739730632,I,C,low
-63.13383813282424,-150.64913740168296,-84.57928249305645,-122.67965793514642,-116.81564313421966,-89.3197822197887,-123.36126789917108,-119.6292822771361,I,C,low
-69.88401161910555,-118.77800855218837,-57.4822762361664,-113.9302938618526,-112.8319042585858,-54.23332664035765,-108.84110641585056,-107.7393310842286,H,C,high
-68.19389353702432,-188.9755082331033,-55.58955973460929,-170.1024413623555,-162.40904732537254,-61.329481125004705,-167.47256581729843,-159.62824943977597,C,C,high
-62.64240830564643,-116.52833213309786,-51.19565392748776,-111.893454620113,-107.2071618234583,-50.82063923906119,-107.88118157974691,-103.38832501224208,H,C,high
-78.61547292588841,-43.17135819906336,-68.22122073506706,-67.49766818121796,-67.69781490440852,-52.54928809404483,-52.01810673338651,-52.33375477871872,G,G,high
-65.68107141536444,-121.09183982587165,-55.83034680970472,-113.72848233833483,-106.21964578651416,-56.798239077002556,-111.04307032673043,-103.43260094029971,C,C,high
-67.10143841739524,-41.820867078066584,-55.686793825947966,-55.91233191439694,-56.25657847998684,-48.88548873604012,-49.01408170130583,-49.46203920726762,G,G,high
-67.77752096599075,-155.3613187046296,-55.03401122246472,-132.08104616482018,-148.1938648728574,-60.50103643437396,-131.42351409438223,-146.75077114910744,C,C,high
-73.82451705900708,-44.64723373343206,-59.60939016511513,-59.86626053039107,-60.10198554701207,-51.47814422121329,-51.6815197325765,-51.82046299155087,G,G,low
-72.37004927854392,-43.20847331735219,-61.47723480237392,-63.20421279517545,-63.21144585101591,-50.076514225510074,-51.84910389274767,-51.73327804592112,G,H,low
-64.82919958192652,-100.76771622202354,-52.920888267325765,-103.22699989919373,-91.57189503043232,-50.192581281304136,-98.65649512064024,-87.4361857675154,H,C,high
-64.58429258539758,-43.00871864559049,-55.53727250296394,-55.353147403999365,-53.47733422856888,-49.54479387870871,-49.4833900640325,-47.68447432670679,G,H,low
-64.92419409130628,-211.47258119163521,-191.20444880137777,-148.8576521137956,-79.84559677581723,-189.52174895493707,-150.39955510834832,-86.3119031874719,I,H,low
-61.23505038529821,-221.17293331859784,-105.01983912189716,-111.93166825165864,-210.04908857502812,-109.19876992300618,-115.24757858902689,-209.0671884438028,I,C,low
-67.36452501283586,-60.74691616747008,-56.50255779950827,-66.13097545391987,-67.87447111465369,-51.30010588455644,-60.2494450560759,-61.757024512254674,H,I,low
-68.44737223652788,-53.90547744279817,-56.01063279818544,-68.44346623244205,-64.67116592490855,-50.46838272141181,-62.18339899582447,-58.41602080996189,H,C,low
-64.23054902038986,-208.6345041844792,-124.87483645258287,-151.40013421522602,-158.08767916269568,-126.98645771591798,-154.27400573896415,-159.5502550162158,I,C,high
-75.12352830805385,-121.04704814408952,-60.54855595058752,-122.84608660883839,-118.00631010251648,-54.590714431283544,-114.23579026669388,-109.69426377372622,H,H,low
-66.75001577646627,-43.530123911975714,-56.66234728008742,-55.01056746917635,-56.75370150124186,-50.3763637607093,-48.64214721109638,-50.32303086555496,G,G,high
-65.2244093065768,-53.79371173342566,-54.36610382349594,-62.658277643103624,-63.722012622405714,-50.08758585521333,-57.4039608461141,-58.40295257211894,H,H,high
-66.62032415042474,-40.841256948647406,-54.43304291281966,-55.24207591989829,-54.70606649725085,-48.27470879270671,-49.08144737228115,-48.63930896094683,G,H,low
-66.84544812489334,-39.16804288207411,-56.74614700235246,-57.354291403161604,-56.27190981522741,-45.85178618815289,-46.42977095444887,-45.60292175457308,G,G,high
-60.6632052596984,-165.46818908776527,-50.344190269944974,-154.67168940673957,-147.58662022672436,-51.796255657401595,-153.19424393306892,-146.2413900076358,C,C,high
-64.41995910433594,-196.8048653356326,-136.7672409836139,-182.23224242949144,-96.66725365894038,-138.33454564778424,-181.02704728324017,-101.38296885939371,I,C,low
-68.9351371189313,-92.80759177254838,-53.020298730588465,-86.48831332968182,-94.42943820616291,-48.54211824998763,-82.85423797222455,-90.34012773872087,H,C,low
-68.4557660727346,-179.20530599244677,-53.795405802241895,-143.44423225770234,-157.86804329480597,-57.864385859162034,-141.89268958410727,-156.09500474868776,C,C,high
-61.69296727268925,-40.21688412769001,-50.62224403835661,-56.02680272649516,-56.71935736325597,-45.692340912051414,-51.046519771362206,-51.937265447408436,G,H,low
-67.11103413837407,-41.82448712292427,-55.696045526470236,-55.92208620980861,-56.26569648670949,-48.89198333687762,-49.02158489870719,-49.468394593717235,G,G,high
-65.25109934370117,-62.47120266468008,-52.126861192580336,-67.29147801033388,-65.99339437907875,-49.69350394716253,-62.843640955902586,-61.62429348982151,C,H,high
-63.5827833228962,-138.3889989201328,-53.9563290817118,-128.822414226245,-125.56508680158665,-58.171694560487396,-127.18601822384105,-124.02091237745005,C,C,high
-68.56106903369563,-264.17897897158764,-96.83239864298376,-232.0654618008349,-184.3081831106135,-103.67105638272963,-232.15221531920318,-187.03441968404692,I,I,high
-70.2471860452182,-75.52266074637058,-60.10021165482233,-78.33686729086604,-87.17414590457241,-52.75513731660427,-70.9421391849617,-79.60446084037648,H,H,low
-67.39697219561087,-254.115812801488,-171.788276886144,-162.88632925640738,-166.49924191776475,-174.30450274072112,-172.24860833973,-172.72273921804745,I,I,high
-62.937526041986054,-92.13052977251897,-54.20578902154456,-85.4324407866743,-96.87224625159008,-54.89431572235043,-82.51513750550471,-93.70843330956379,C,H,low
-70.27309595140942,-75.5320455871306,-60.11597796458391,-78.34904869735816,-87.18485696071764,-52.767440564038914,-70.95216970303106,-79.61291763619224,H,H,high
-68.70639068842405,-55.27675659399543,-55.90534778697902,-66.68950084103734,-74.78122111189789,-49.825548736035344,-60.23508117834538,-68.34696165329336,H,H,high
-71.28146886177275,-175.62334578980855,-57.36874366428597,-169.10967873540082,-145.26348841109208,-58.00790387380508,-164.99562393718372,-141.55762523556078,C,C,high
