I,G,C,H
0.0482989347671055,0.03666647382056848,0.6274894446810684,0.287545146731269
0.04827360236721295,0.035,0.8612676903875908,0.05545870724520022
0.8949998205532762,0.035,0.03500017826555518,0.035000001181191
0.03534206688172537,0.6768164414109495,0.052752631468303474,0.23508886023901648
0.03698850874357447,0.6792184759385061,0.08411498044483386,0.19967803487307745
0.03523037017806255,0.7811204581750294,0.048090376640032545,0.13555879500689755
0.043362981605694,0.03500000007741053,0.7208051580408832,0.20083186027602257
0.05485532823978739,0.035,0.7115744919586858,0.19857017980154004
0.03532555420521505,0.7655381825712992,0.053707167265130716,0.14542909595834952
0.8949999987016054,0.035,0.03500000084335562,0.03500000045503181
0.035481291588091615,0.7200693621160676,0.04546190247696835,0.19898744381888797
0.04556233821757867,0.03503842576319786,0.14210977034899278,0.777289465670251
0.035250016686319025,0.7365609861241059,0.05135720059844294,0.1768317965911544
0.03689547336403773,0.7272817092457536,0.06716142261517319,0.16866139477504746
0.8949999887632647,0.035,0.0350000108470215,0.03500000038970371
0.8932839826898272,0.03500000000055342,0.03643393036985026,0.035282086939747784
0.03527839616343883,0.8164745541346853,0.03874990305003327,0.10949714665183
0.03517800963011377,0.724774803616187,0.05335046507604778,0.18669672167766482
0.893267649321163,0.035000000000568916,0.03644715310396156,0.035285197574326924
0.038319046445827516,0.03500000003164795,0.20259598904070714,0.7240849644818221
0.894999972576449,0.035,0.0350000181980502,0.03500000922548191
0.89499874026716,0.035,0.03500089182064127,0.03500036791219599
0.8949999445856822,0.035,0.035000046706818534,0.03500000870750969
0.035181378967580966,0.7960655233523433,0.04109910873180695,0.12765398894826596
0.894091618559181,0.03500000000000243,0.03573935025453868,0.035169031186279065
0.03524721755443699,0.7717993184825083,0.05207062775854099,0.14088283620452466
0.03672201305248387,0.3880863976632193,0.1549327723978288,0.4202588168864877
0.04199787921698449,0.03500000000006824,0.6562108747475552,0.266791246035401
0.03571227588634293,0.8028467697447306,0.041273800402424635,0.12016715396649677
0.03552617100388839,0.7587935985897618,0.05667842989676887,0.14900180050958095
0.03542267981330483,0.8008952735800342,0.0505753967199397,0.11310664988671487
0.894999998704783,0.035,0.03500000084155879,0.0350000004536686
0.036601050762134206,0.035023857284691845,0.45356548172556954,0.47480961022761475
0.03546563537529744,0.749477507310062,0.03984300326176249,0.17521385405287815
0.7784830611978503,0.03520692971757526,0.09364192187201718,0.09266808721257308
0.0666157372885307,0.035,0.7645055734967043,0.133878689214744
0.035405245629887276,0.6671717687280366,0.054563676533164,0.24285930910892978
0.03516960934126484,0.035,0.8317221920017352,0.09810819865702279
0.03515825351540525,0.8150303329323906,0.03898353014794259,0.11082788340426486
0.035762431394736796,0.7934324934579268,0.04931260722935382,0.121492467917969
0.03556864330983451,0.09658218178907477,0.0831833272420742,0.7846658476589933
0.04187703785706048,0.1098974639547067,0.12176976520322906,0.7264557329850139
0.0455816427015443,0.035038774302307875,0.14235097922086512,0.7770286037753018
0.06649039078655619,0.035,0.7643939979592969,0.1341156112541695
0.03531106095126904,0.7607598937938914,0.05450536369007022,0.149423681564745
0.035465568977191456,0.7495277166619841,0.03983099689836694,0.17517571746243957
0.712547259355318,0.035,0.1345225153999702,0.11793022524472363
